"","Country","Hotels","Date"
"487","Hungary","10930","2017-FEB-28"
"488","Faroe Islands","33","2017-FEB-28"
"489","Bhutan","59","2017-FEB-28"
"490","Cambodia","2381","2017-FEB-28"
"491","South Africa","10714","2017-FEB-28"
"492","Jordan","521","2017-FEB-28"
"493","El Salvador","223","2017-FEB-28"
"494","Honduras","486","2017-FEB-28"
"495","Romania","8552","2017-FEB-28"
"496","Myanmar","1092","2017-FEB-28"
"497","Luxembourg","319","2017-FEB-28"
"498","Vietnam","7297","2017-FEB-28"
"499","Russia (Russian Fed.) hotels","36204","2017-FEB-28"
"500","Albania","1706","2017-FEB-28"
"501","Venezuela","35","2017-FEB-28"
"502","Vanuatu","154","2017-FEB-28"
"503","Papua New Guinea (Pap New Guinea) hotels","44","2017-FEB-28"
"504","Kazakhstan","1453","2017-FEB-28"
"505","Equatorial Guinea (Eq. Guinea) hotels","8","2017-FEB-28"
"506","Benin","100","2017-FEB-28"
"507","Andorra","473","2017-FEB-28"
"508","Latvia","2124","2017-FEB-28"
"509","Angola","78","2017-FEB-28"
"510","Rwanda","217","2017-FEB-28"
"511","Madagascar","304","2017-FEB-28"
"512","Lebanon","383","2017-FEB-28"
"513","Indonesia","12209","2017-FEB-28"
"514","Brunei (Brunei D.) hotels","30","2017-FEB-28"
"515","Uganda","620","2017-FEB-28"
"516","San Marino","32","2017-FEB-28"
"517","Paraguay","213","2017-FEB-28"
"518","Tajikistan","83","2017-FEB-28"
"519","Cameroon","185","2017-FEB-28"
"520","Nepal","809","2017-FEB-28"
"521","Mozambique","194","2017-FEB-28"
"522","Moldova","363","2017-FEB-28"
"523","Libya","4","2017-FEB-28"
"524","Estonia","2513","2017-FEB-28"
"525","Czech Republic (Czech Rep.) hotels","11147","2017-FEB-28"
"526","Bosnia and Herzegovina (Bosnia Herz) hotels","2411","2017-FEB-28"
"527","Crimea","4594","2017-FEB-28"
"528","Uzbekistan","223","2017-FEB-28"
"529","Swaziland","33","2017-FEB-28"
"530","Northern Mariana Islands (N Mariana Is) hotels","40","2017-FEB-28"
"531","Niue","7","2017-FEB-28"
"532","Laos","899","2017-FEB-28"
"533","Guinea-Bissau","4","2017-FEB-28"
"534","Gabon","37","2017-FEB-28"
"535","Ivory Coast","265","2017-FEB-28"
"536","Bulgaria","8109","2017-FEB-28"
"537","Belarus","2486","2017-FEB-28"
"538","Bangladesh","197","2017-FEB-28"
"539","Azerbaijan","592","2017-FEB-28"
"540","Serbia","3539","2017-FEB-28"
"541","Togo","108","2017-FEB-28"
"542","Mongolia","156","2017-FEB-28"
"543","Micronesia","5","2017-FEB-28"
"544","Malawi","77","2017-FEB-28"
"545","Lithuania","2883","2017-FEB-28"
"546","Lesotho","35","2017-FEB-28"
"547","Kyrgyzstan","519","2017-FEB-28"
"548","Guinea","19","2017-FEB-28"
"549","French Guiana","26","2017-FEB-28"
"550","Burundi","28","2017-FEB-28"
"551","Burkina Faso","39","2017-FEB-28"
"552","Kosovo","113","2017-FEB-28"
"553","Zambia","352","2017-FEB-28"
"554","Reunion","339","2017-FEB-28"
"555","Grenada","59","2017-FEB-28"
"556","Gibraltar","16","2017-FEB-28"
"557","Chad","10","2017-FEB-28"
"558","Algeria","53","2017-FEB-28"
"559","Slovakia","3963","2017-FEB-28"
"560","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35","2017-FEB-28"
"561","Mauritania","50","2017-FEB-28"
"562","East Timor","33","2017-FEB-28"
"563","Djibouti","14","2017-FEB-28"
"564","Botswana","170","2017-FEB-28"
"565","Antigua & Barbuda (Antigua, Bbda) hotels","95","2017-FEB-28"
"566","Puerto Rico","539","2017-MAR-01"
"567","Bermuda","33","2017-MAR-01"
"568","Haiti","87","2017-MAR-01"
"569","Turks & Caicos Islands (Turks, Ccs Is) hotels","97","2017-MAR-01"
"570","Iceland","1516","2017-MAR-01"
"571","Guam","36","2017-MAR-01"
"572","Barbados","390","2017-MAR-01"
"573","Jamaica","840","2017-MAR-01"
"574","Saint Barts (St. Barts) hotels","141","2017-MAR-01"
"575","Bahamas","219","2017-MAR-01"
"576","Singapore","473","2017-MAR-01"
"577","Aruba","345","2017-MAR-01"
"578","Costa Rica","3247","2017-MAR-01"
"579","Maldives","574","2017-MAR-01"
"580","Guadeloupe","602","2017-MAR-01"
"581","Cayman Islands","90","2017-MAR-01"
"582","United Kingdom (the UK) hotels","43820","2017-MAR-01"
"583","Italy","133479","2017-MAR-01"
"584","Canada","11252","2017-MAR-01"
"585","Dominican Republic (Dominican Rep) hotels","1547","2017-MAR-01"
"586","Mexico","11552","2017-MAR-01"
"587","Japan","11452","2017-MAR-01"
"588","Panama","925","2017-MAR-01"
"589","Martinique","271","2017-MAR-01"
"590","Saint Martin","289","2017-MAR-01"
"591","Ireland","4374","2017-MAR-01"
"592","U.S. Virgin Islands (US Virgin Is) hotels","202","2017-MAR-01"
"593","Belize","450","2017-MAR-01"
"594","Saint Lucia","162","2017-MAR-01"
"595","Israel","3016","2017-MAR-01"
"596","Guyana","25","2017-MAR-01"
"597","Ghana","706","2017-MAR-01"
"598","Germany","45126","2017-MAR-01"
"599","India","25146","2017-MAR-01"
"600","South Korea","4558","2017-MAR-01"
"601","Malta","1079","2017-MAR-01"
"602","Trinidad and Tobago (Trinidad Tbgo) hotels","136","2017-MAR-01"
"603","Denmark","23240","2017-MAR-01"
"604","New Zealand","5007","2017-MAR-01"
"605","Monaco","29","2017-MAR-01"
"606","Nigeria","805","2017-MAR-01"
"607","Greenland","23","2017-MAR-01"
"608","Peru","4581","2017-MAR-01"
"609","Philippines","3456","2017-MAR-01"
"610","Dominica","111","2017-MAR-01"
"611","Turkey","14957","2017-MAR-01"
"612","Seychelles","451","2017-MAR-01"
"613","France","72260","2017-MAR-01"
"614","Colombia","7206","2017-MAR-01"
"615","Guatemala","660","2017-MAR-01"
"616","Mauritius","1001","2017-MAR-01"
"617","Australia","16166","2017-MAR-01"
"618","Armenia","1290","2017-MAR-01"
"619","Belgium","7201","2017-MAR-01"
"620","Curaçao","375","2017-MAR-01"
